Description,Number of Beds,Price (HKD)
Apartment in Suginami-ku,3 beds,"$522 HKD
 night
$522 HKD per night"
"Apartment in Sumida-Ku,",3 beds,"$571 
$302 HKD
 night
$302 HKD per night, originally $571"
Apartment in Shinjuku City,1 bed,"$427 HKD
 night
$427 HKD per night"
Apartment in Shinjuku City,1 bed,"$427 HKD
 night
$427 HKD per night"
Apartment in Shinjuku,1 bed,"$1,958 HKD
 night
$1,958 HKD per night"
Hotel room in Sumida City,5 beds,"$835 HKD
 night
$835 HKD per night"
Private room in Sumida City,1 small double bed,"$114 HKD
 night
$114 HKD per night"
Shared room in Chuo City,1 bed,"$143 HKD
 night
$143 HKD per night"
Home in Sumida-ku,7 beds,"$1,403 
$1,081 HKD
 night
$1,081 HKD per night, originally $1,403"
Apartment in Shibuya-ku,2 beds,"$478 
$344 HKD
 night
$344 HKD per night, originally $478"
Apartment in Chuo City,2 beds,"$612 
$386 HKD
 night
$386 HKD per night, originally $612"
Hotel room in Taito City,5 beds,"$1,178 
$766 HKD
 night
$766 HKD per night, originally $1,178"
Hotel room in 台東区東上野,12 single beds,"$145 HKD
 night
$145 HKD per night"
Private room in Toshima City,1 single bed,"$156 
$91 HKD
 night
$91 HKD per night, originally $156"
Hotel room in Taito City,4 single beds,"$1,037 
$729 HKD
 night
$729 HKD per night, originally $1,037"
Hotel room in Setagaya-ku,2 beds,"$408 
$285 HKD
 night
$285 HKD per night, originally $408"
Apartment in 新宿区,1 double bed,"$355 HKD
 night
$355 HKD per night"
Hotel room in Setagaya-ku,3 beds,"$640 
$370 HKD
 night
$370 HKD per night, originally $640"
Apartment in Sumida City,3 beds,"$512 
$387 HKD
 night
$387 HKD per night, originally $512"
Private room in Taito City,1 bed,"$344 
$308 HKD
 night
$308 HKD per night, originally $344"
Private room in Shinjuku,1 double bed,"$375 HKD
 night
$375 HKD per night"
Hotel room in Setagaya-ku,4 beds,"$2,394 
$1,337 HKD
 night
$1,337 HKD per night, originally $2,394"
Home in Nakano City,3 double beds,"$843 HKD
 night
$843 HKD per night"
Private room in Toshima City,2 small double beds,"$287 HKD
 night
$287 HKD per night"
Apartment in Taito City,1 bed,"$209 HKD
 night
$209 HKD per night"
Apartment in Taito City,3 beds,"$301 HKD
 night
$301 HKD per night"
Apartment in Shinjuku City,4 single beds,"$548 
$396 HKD
 night
$396 HKD per night, originally $548"
"Private room in Fujikawaguchiko, Minamitsuru District",2 floor mattresses,"$212 
$178 HKD
 night
$178 HKD per night, originally $212"
Private room in Nagareyama-shi,2 beds,"$92 HKD
 night
$92 HKD per night"
Apartment in Shibuya-ku,1 double bed,"$509 HKD
 night
$509 HKD per night"
Hotel room in Sumida City,1 double bed,"$751 HKD
 night
$751 HKD per night"
Hotel room in Arakawa City,1 double bed,"$343 HKD
 night
$343 HKD per night"
Apartment in Shinjuku City,1 bed,"$441 
$341 HKD
 night
$341 HKD per night, originally $441"
Apartment in Shinjuku City,1 double bed,"$332 HKD
 night
$332 HKD per night"
Hotel room in Chiyoda City,2 beds,"$408 
$323 HKD
 night
$323 HKD per night, originally $408"
Apartment in Chuo City,2 beds,"$885 HKD
 night
$885 HKD per night"
Home in Taito City,16 floor mattresses,"$1,359 HKD
 night
$1,359 HKD per night"
Condo in Shinjuku City,1 double bed,"$478 
$412 HKD
 night
$412 HKD per night, originally $478"
Private room in 荒川区東日暮里,2 floor mattresses,"$597 HKD
 night
$597 HKD per night"
Apartment in Sumida-ku,3 double beds,"$624 
$387 HKD
 night
$387 HKD per night, originally $624"
Hotel room in Shinjuku City,2 beds,"$417 
$375 HKD
 night
$375 HKD per night, originally $417"
