Hotel Name,Price Per Night,Location,Average Rating
European Hostel,385.0,,7.0
Paris Guest House - Hostel,415.0,,4.2
Payless Guest House A-2,363.0,,6.0
Cebu Hotel,148.0,,6.0
Woodstock Hostel,345.0,,5.2
Rich Hotel,321.0,,6.4
Swiss Hostel,458.0,,7.2
Mabuhay Hotel,372.0,,4.6
Traveller's Hostel,345.0,,7.0
Hotel Skyview,332.0,,5.8
Hotel Skystar,321.0,,5.8
Melbourne Hostel,303.0,,4.0
New Guangzhou Guesthouse - Hostel,245.0,,6.2
Kabayan Hostel,372.0,,5.8
Paris Guest House,356.0,,4.0
Singh Guest House,343.0,,2.0
W's Lounge,148.0,,6.2
Everest Hostel Block E,270.0,,6.0
Om Guest House,363.0,,4.2
City HK Guest House,326.0,,5.4
Downtown Backpackers Hostel,345.0,,6.0
Crystal Hostel,219.0,,2.0
Seasons Hotel - Tsim sha tsui,418.0,,5.8
Asia Inn,409.0,,2.0
New Yan Yan Guest House,272.0,,5.6
Metrocity Lounge,98.0,,5.0
Germany Hostel,508.0,,4.6
Merryland Guest House,614.0,,6.8
Well Yet Guest House,371.0,,5.6
Hostel 16,272.0,,3.4
Legend Guest House,420.0,,7.2
Hong Kong Premium Guest House,348.0,,7.0
Pearl Premium Guest House,268.0,,7.0
Sandhu guest house,350.0,,7.0
Modern,383.0,,8.0
Victoria Inn,391.0,,8.2
Sleep Inn,339.0,,7.6
California Hotel,418.0,,5.0
Xi Hotel,594.0,,7.6
Ring Wood Guest House,474.0,,7.8
The Otto Hotel,492.0,,9.0
"Hyatt Regency Hong Kong, Tsim Sha Tsui",880.0,,8.8
The Nap Tsim Sha Tsui,329.0,,7.4
The Ritz Carlton Hong Kong,2900.0,,9.4
Hotel Hart,455.0,,7.8
Star City Hotel - Tsim Sha Tsui,529.0,,5.8
The Mira Hong Kong Hotel,861.0,,8.6
Attitude On Granville,424.0,,8.4
Dadol Hotel,382.0,,6.4
B P International,389.0,,7.8
"Kowloon Shangri-La, Hong Kong",990.0,,9.2
Soravit on Granville,479.0,,8.2
The Kimberley Hotel,352.0,,7.4
The Luxe Manor,768.0,,8.8
The Perkin Hotel,678.0,,8.8
Park Hotel Hong Kong,792.0,,8.6
Nuts Hotel,800.0,,5.8
Stanford Hillview Hotel,608.0,,8.4
Best Western Plus Hotel Kowloon,456.0,,6.2
The Royal Garden,670.0,,8.4
Prudential Hotel,506.0,,8.0
Popway Hotel,498.0,,8.2
Page148,738.0,,9.0
South & North House,302.0,,7.6
"InterContinental Grand Stanford Hong Kong, an IHG Hotel",880.0,,8.8
Hang Ho Hostel,618.0,,8.0
New World Millennium Hong Kong Hotel,927.0,,8.8
