Number of Beds,Price (HKD),Type,Location
3.0,1027.0,Apartment,Hong Kong
2.0,652.0,Hotel room,Hong Kong
1.0,352.0,Private room,佐敦
1.0,143.0,Shared room,Hong Kong
0.0,1790.0,Condo,Hong Kong
1.0,1151.0,Private room,Lamma Island
1.0,260.0,Shared room,Hong Kong
3.0,1798.0,Private room,Hong Kong
1.0,430.0,Private room,Hong Kong
4.0,184.0,Shared room,Wan Chai
1.0,360.0,Private room,Wan Chai
1.0,936.0,Condo,Hong Kong
3.0,4351.0,Apartment,Hong Kong
1.0,1561.0,Condo,Hong Kong
3.0,1987.0,Apartment,"Hong Kong, Hong Kong"
1.0,522.0,Condo,Hong Kong
1.0,347.0,Private room,Hong Kong
1.0,1251.0,Apartment,Hong Kong
1.0,226.0,Private room,Hong Kong
2.0,676.0,Condo,Hong Kong
1.0,2378.0,Apartment,Hong Kong
2.0,1313.0,Apartment,Hong Kong
3.0,1369.0,Home,Hong Kong
6.0,2511.0,Private room,東涌
2.0,1516.0,Shared room,Hong Kong
1.0,948.0,Apartment,Hong Kong
5.0,16125.0,Farm stay,New Territories
2.0,20541.0,Boat,Hong Kong
1.0,316.0,Private room,Hong Kong
1.0,404.0,Private room,Hong Kong
0.0,1230.0,Apartment,Hong Kong
1.0,342.0,Private room,Hong Kong
2.0,1255.0,Apartment,Hong Kong
1.0,5934.0,Private room,Hong Kong
1.0,439.0,Private room,Hong Kong
4.0,171.0,Shared room,Hong Kong
2.0,4602.0,Apartment,Tai Ping Mansion
1.0,466.0,Private room,Hong Kong
1.0,380.0,Private room,Hong Kong
1.0,851.0,Apartment,Stanley
1.0,386.0,Private room,Hong Kong
1.0,1654.0,Hotel room,Sheung Wan
1.0,402.0,Private room,尖沙咀
1.0,226.0,Private room,Hong Kong
3.0,1576.0,Apartment,Mei Foo
3.0,631.0,Condo,Hong Kong
8.0,5720.0,Home,Hong Kong
2.0,580.0,Private room,HK
2.0,1249.0,Castle,Hong Kong
1.0,411.0,Place to stay,Hong Kong
1.0,383.0,Hotel room,Hong Kong
4.0,143.0,Hotel room,Hong Kong
1.0,404.0,Private room,Hong Kong
2.0,194.0,Shared room,Hong Kong
1.0,533.0,Private room,Hong Kong
1.0,399.0,Private room,Hong Kong
2.0,817.0,Hotel room,Hong Kong
3.0,2064.0,Home,Hong Kong
1.0,1327.0,Private room,Hong Kong
2.0,512.0,Apartment,Hong Kong
1.0,372.0,Private room,Hong Kong
1.0,143.0,Shared room,Hong Kong
1.0,1317.0,Hotel room,HK
1.0,586.0,Private room,Hong Kong
1.0,3116.0,Barn,Hong Kong
1.0,672.0,Private room,Hong Kong
1.0,468.0,Private room,Wan Chai
4.0,2634.0,Home,Hong Kong
3.0,766.0,Apartment,Hong Kong
2.0,2225.0,Apartment,Hong Kong
2.0,1360.0,Private room,Hong Kong
2.0,411.0,Place to stay,Hong Kong
1.0,1326.0,Private room,Hong Kong
4.0,1878.0,Hotel room,HK
1.0,440.0,Hotel room,Hong Kong
1.0,961.0,Apartment,Kennedy Town
1.0,458.0,Private room,Hong Kong
2.0,320.0,Private room,Hong Kong
3.0,2145.0,Apartment,Hong Kong
