Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Minato,1.0,Hotel Room,789.0
Hotel,Chuo,1.0,Hotel Room,865.0
Hotel,Minato,1.0,Hotel Room,738.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Chuo,1.0,Hotel Room,759.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Taito,1.0,Hotel Room,752.0
Hotel,Chiyoda,1.0,Hotel Room,852.0
Hotel,Minato,1.0,Hotel Room,941.0
Hotel,Chuo,1.0,Hotel Room,517.0
Hotel,Ota,1.0,Hotel Room,1763.0
Hotel,Minato,4.0,Hotel Room,2826.0
Hotel,Shinjuku,1.0,Hotel Room,713.0
Hotel,Chuo,1.0,Hotel Room,901.0
Hotel,Minato,1.0,Hotel Room,940.0
Hotel,Minato,1.0,Hotel Room,764.0
Hotel,Minato,1.0,Hotel Room,1113.0
Hotel,Koto,1.0,Hotel Room,993.0
Hotel,Chuo,1.0,Hotel Room,606.0
Hotel,Sumida,1.0,Hotel Room,444.0
Hotel,Minato,1.0,Hotel Room,883.0
Hotel,Shinagawa,1.0,Hotel Room,660.0
Hotel,Koto,1.0,Hotel Room,1958.0
Hotel,Shibuya,1.0,Hotel Room,1285.0
Hotel,Minato,1.0,Hotel Room,665.0
Hotel,Taito,1.0,Hotel Room,584.0
Hotel,Ota,1.0,Hotel Room,638.0
Hotel,Koto,1.0,Hotel Room,638.0
Hotel,Chiyoda,1.0,Hotel Room,725.0
Hotel,Shibuya,1.0,Hotel Room,1154.0
Hotel,Edogawa,1.0,Hotel Room,536.0
Hotel,Bunkyo,1.0,Hotel Room,825.0
Hotel,Taito,4.0,Hotel Room,2321.0
Hotel,Minato,2.0,Hotel Room,1413.0
Hotel,(outside tokyo),2.0,Hotel Room,3127.0
Hotel,Chuo,1.0,Hotel Room,1198.0
Hotel,Taito,1.0,Hotel Room,461.0
Hotel,Shinagawa,1.0,Hotel Room,1103.0
Hotel,Minato,1.0,Hotel Room,714.0
Hotel,Chuo,1.0,Hotel Room,514.0
Hotel,Taito,,Miscellaneous,717.0
Hotel,Chuo,1.0,Hotel Room,563.0
Hotel,Taito,1.0,Hotel Room,547.0
Hotel,Toshima,1.0,Hotel Room,541.0
Hotel,Toshima,1.0,Hotel Room,904.0
Hotel,Chiyoda,1.0,Hotel Room,573.0
Hotel,Minato,1.0,Hotel Room,974.0
Hotel,Minato,1.0,Hotel Room,736.0
Hotel,Shinjuku,1.0,Hotel Room,801.0
Hotel,Minato,1.0,Hotel Room,606.0
Hotel,Ota,1.0,Hotel Room,606.0
Hotel,Taito,1.0,Dormitory,216.0
Hotel,Chuo,1.0,Hotel Room,1719.0
Hotel,Chuo,1.0,Hotel Room,833.0
Hotel,Bunkyo,1.0,Hotel Room,3869.0
Hotel,Minato,,Miscellaneous,3280.0
Hotel,Taito,1.0,Hotel Room,499.0
Hotel,Shinagawa,1.0,Hotel Room,935.0
Hotel,Shinjuku,1.0,Hotel Room,606.0
Hotel,Shinjuku,1.0,Hotel Room,831.0
Hotel,Minato,1.0,Hotel Room,1274.0
Hotel,Chuo,1.0,Hotel Room,546.0
Hotel,Taito,1.0,Hotel Room,1766.0
Hotel,Taito,1.0,Hotel Room,513.0
Hotel,Chiyoda,1.0,Hotel Room,1153.0
Hotel,Minato,1.0,Dormitory,389.0
Hotel,Sumida,1.0,Hotel Room,665.0
Hotel,Shinjuku,1.0,Hotel Room,801.0
Hotel,Chuo,,Studio,3059.0
Hotel,Sumida,1.0,Hotel Room,914.0
Hotel,Chiyoda,1.0,Hotel Room,666.0
Hotel,Shinjuku,1.0,Dormitory,321.0
Hotel,Shibuya,1.0,Hotel Room,948.0
Hotel,Arakawa,1.0,Hotel Room,683.0
Hotel,Minato,1.0,Hotel Room,1103.0
Hotel,Chiyoda,1.0,Hotel Room,898.0
Hotel,Toshima,1.0,Hotel Room,541.0
Hotel,Minato,1.0,Hotel Room,974.0
Hotel,Minato,1.0,Hotel Room,2380.0
Hotel,Minato,1.0,Hotel Room,665.0
Hotel,Minato,1.0,Hotel Room,2164.0
Hotel,Toshima,1.0,Hotel Room,531.0
Hotel,Minato,1.0,Hotel Room,784.0
Hotel,Minato,1.0,Hotel Room,606.0
Hotel,Koto,1.0,Hotel Room,898.0
Hotel,Taito,4.0,Hotel Room,2499.0
Hotel,Minato,1.0,Hotel Room,606.0
Hotel,Chiyoda,1.0,Hotel Room,844.0
Hotel,Setagaya,1.0,Hotel Room,1142.0
Hotel,Setagaya,1.0,Hotel Room,1079.0
Hotel,Chiyoda,1.0,Hotel Room,832.0
Hotel,Koto,1.0,Hotel Room,652.0
Hotel,(outside tokyo),2.0,Hotel Room,3631.0
Hotel,Chuo,1.0,Hotel Room,1028.0
Hotel,Chiyoda,1.0,Hotel Room,622.0
Hotel,Shinjuku,1.0,Hotel Room,916.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,482.0
Hotel,(outside tokyo),2.0,Hotel Room,2099.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,1269.0
Hotel,Chuo,1.0,Hotel Room,613.0
Hotel,Chiyoda,1.0,Hotel Room,827.0
Hotel,Setagaya,1.0,Hotel Room,1285.0
Hotel,Shinjuku,1.0,Hotel Room,1623.0
Hotel,Koto,1.0,Hotel Room,1310.0
Hotel,Chiyoda,1.0,Hotel Room,730.0
Hotel,Shibuya,1.0,Hotel Room,3063.0
Hotel,Chiyoda,1.0,Hotel Room,745.0
Hotel,Taito,1.0,Hotel Room,487.0
Hotel,Chuo,1.0,Hotel Room,514.0
Hotel,Shinagawa,1.0,Hotel Room,665.0
Hotel,Chuo,1.0,Hotel Room,849.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Taito,1.0,Hotel Room,775.0
Hotel,(outside tokyo),2.0,Hotel Room,3815.0
Hotel,Chuo,1.0,Hotel Room,762.0
Hotel,Chuo,1.0,Hotel Room,1188.0
Hotel,Toshima,1.0,Hotel Room,974.0
Hotel,Kita,1.0,Dormitory,200.0
Hotel,Taito,1.0,Hotel Room,1022.0
Hotel,Minato,1.0,Hotel Room,697.0
Hotel,Chiyoda,1.0,Hotel Room,606.0
Hotel,Chuo,1.0,Hotel Room,682.0
Hotel,Minato,1.0,Hotel Room,1953.0
Hotel,Minato,1.0,Hotel Room,1953.0
Hotel,Edogawa,1.0,Hotel Room,686.0
Hotel,Ota,1.0,Hotel Room,607.0
Hotel,Ota,1.0,Hotel Room,865.0
