,Location
Taito,168
Minato,130
Chuo Ward,130
Shinjuku Ward,110
Chiyoda,86
Toshima,51
Ota Ward,51
Shibuya Ward,45
Shinagawa Ward,37
Sumida Ward,34
Koto Ward,27
Urayasu,25
Kita,17
Edogawa,16
Bunkyo,14
Arakawa,13
Meguro Ward,9
Setagaya,9
Katsushika,8
Adachi Ward,7
Suginami Ward,4
Nakano,4
Nerima Ward,2
Tokyo,2
Itabashi Ward,1
